organism_name	taxid	bioproject_accession	bioproject_id	group	subgroup	size_mb	gc	assembly_accession	replicons	wgs	scaffolds	genes	proteins	release_date	modify_date	status	center	biosample_accession
Homo sapiens	9606	PRJNA31257	31257	Animals	Mammals	3272.09	41.4778	GCA_000001405.28	chromosome 1:NC_000001.11/CM000663.2; chromosome 2:NC_000002.12/CM000664.2; chromosome 3:NC_000003.12/CM000665.2; chromosome 4:NC_000004.12/CM000666.2; chromosome 5:NC_000005.10/CM000667.2; chromosome 6:NC_000006.12/CM000668.2; chromosome 7:NC_000007.14/CM000669.2; chromosome 8:NC_000008.11/CM000670.2; chromosome 9:NC_000009.12/CM000671.2; chromosome 10:NC_000010.11/CM000672.2; chromosome 11:NC_000011.10/CM000673.2; chromosome 12:NC_000012.12/CM000674.2; chromosome 13:NC_000013.11/CM000675.2; chromosome 14:NC_000014.9/CM000676.2; chromosome 15:NC_000015.10/CM000677.2; chromosome 16:NC_000016.10/CM000678.2; chromosome 17:NC_000017.11/CM000679.2; chromosome 18:NC_000018.10/CM000680.2; chromosome 19:NC_000019.10/CM000681.2; chromosome 20:NC_000020.11/CM000682.2; chromosome 21:NC_000021.9/CM000683.2; chromosome 22:NC_000022.11/CM000684.2; chromosome X:NC_000023.11/CM000685.2; chromosome Y:NC_000024.10/CM000686.2; mitochondrion MT:NC_012920.1/J01415.2	NA	919	61185	119801	2002-08-02	2020-03-02	Chromosome	Genome Reference Consortium	NA
Mus musculus	10090	PRJNA11777	11777	Animals	Mammals	2818.97	41.951	GCA_000001635.8	chromosome 1:NC_000067.6/CM000994.2; chromosome 2:NC_000068.7/CM000995.2; chromosome 3:NC_000069.6/CM000996.2; chromosome 4:NC_000070.6/CM000997.2; chromosome 5:NC_000071.6/CM000998.2; chromosome 6:NC_000072.6/CM000999.2; chromosome 7:NC_000073.6/CM001000.2; chromosome 8:NC_000074.6/CM001001.2; chromosome 9:NC_000075.6/CM001002.2; chromosome 10:NC_000076.6/CM001003.2; chromosome 11:NC_000077.6/CM001004.2; chromosome 12:NC_000078.6/CM001005.2; chromosome 13:NC_000079.6/CM001006.2; chromosome 14:NC_000080.6/CM001007.2; chromosome 15:NC_000081.6/CM001008.2; chromosome 16:NC_000082.6/CM001009.2; chromosome 17:NC_000083.6/CM001010.2; chromosome 18:NC_000084.6/CM001011.2; chromosome 19:NC_000085.6/CM001012.2; chromosome X:NC_000086.7/CM001013.2; chromosome Y:NC_000087.7/CM001014.2; mitochondrion MT:NC_005089.1/AY172335.1	NA	336	52801	87887	2004-09-02	2019-08-08	Chromosome	Universidad de Zaragoza	NA
Aspergillus terreus NIH2624	341663	PRJNA15631	15631	Fungi	Ascomycetes	29.364	52.8	GCA_000149615.1	NA	AAJN01	27	10551	10401	2005-09-09	2014-08-06	Scaffold	Broad Institute	SAMN02953635
Thalassiosira pseudonana CCMP1335	296543	PRJNA191	191	Other	Other	32.4374	46.905	GCA_000149405.2	chromosome 1:NC_012064.1/CM000638.1; chromosome 2:NC_012065.1/CM000639.1; chromosome 3:NC_012066.1/CM000640.1; chromosome 4:NC_012067.1/CM000641.1; chromosome 5:NC_012068.1/CM000642.1; chromosome 6:NC_012069.1/CM000643.1; chromosome 7:NC_012070.1/CP001160.1; chromosome 8:NC_012071.1/CM000644.1; chromosome 9:NC_012072.1/CM000645.1; chromosome 10:NC_012073.1/CM000646.1; chromosome 12:NC_012075.1/CM000647.1; chromosome 13:NC_012076.1/CM000648.1; chromosome 14:NC_012077.1/CM000649.1; chromosome 15:NC_012078.1/CM000650.1; chromosome 17:NC_012080.1/CM000651.1; chromosome 18:NC_012081.1/CP001159.1; chromosome 20:NC_012083.1/CM000652.1; chromosome 22:NC_012085.1/CM000653.1; chromosome 23:NC_012086.1/CM000654.1; chromosome 24:NC_012087.1/CM000655.1	AAFD02	64	11771	11673	2004-10-07	2014-08-04	Chromosome	Diatom Consortium	SAMN02744045
Glossina morsitans morsitans	37546	PRJEA59499	59499	Animals	Insects	363.107	34.1	GCA_001077435.1	NA	CCAG01	24071	NA	NA	2014-03-12	2015-01-30	Contig	International Glossina Genomics Initiative	SAMEA3146294
Dictyostelium discoideum AX4	352472	PRJNA201	201	Protists	Other Protists	34.205	22.4631	GCA_000004695.1	chromosome 1:NC_007087.3/CM000150.2; chromosome 2:NC_007088.5/CM000151.3; chromosome 3:NC_007089.4/CM000152.2; chromosome 4:NC_007090.3/CM000153.2; chromosome 5:NC_007091.3/CM000154.2; chromosome 6:NC_007092.3/CM000155.2; plasmid Ddp5:NC_001889.1/; mitochondrion MT:NC_000895.1/	AAFI02	41	13961	13315	2005-03-03	2014-08-06	Chromosome	The Dictyostelium discoideum Sequencing Consortium	SAMN02953606
Guillardia theta CCMP2712	905079	PRJNA53577	53577	Other	Other	87.1453	52.9	GCA_000315625.1	NA	AEIE01	669	24923	24822	2012-11-02	2014-08-01	Scaffold	JGI	SAMN00116900
Fusarium graminearum PH-1	229533	PRJNA13839	13839	Fungi	Ascomycetes	36.458	48.3278	GCA_000240135.3	chromosome 1:NC_026474.1/CM000574.1; chromosome 2:NC_026475.1/CM000575.1; chromosome 3:NC_026476.1/CM000576.1; chromosome 4:NC_026477.1/CM000577.1	AACM02	31	13726	13313	2003-05-09	2014-08-06	Chromosome	International Gibberella zeae Genomics Consortium	SAMN02953593
Saccharomyces mikatae IFO 1815	226126	PRJNA374	374	Fungi	Ascomycetes	11.4703	38	GCA_000166975.1	NA	AABZ01	1648	NA	NA	2003-03-28	2014-08-06	Contig	Broad Institute	SAMN02953585
Cryptococcus neoformans var. neoformans JEC21	214684	PRJNA13856	13856	Fungi	Basidiomycetes	19.0519	48.5368	GCA_000091045.1	chromosome 1:NC_006670.1/AE017341.1; chromosome 2:NC_006684.1/AE017342.1; chromosome 3:NC_006685.1/AE017343.1; chromosome 4:NC_006686.1/AE017344.1; chromosome 5:NC_006687.1/AE017345.1; chromosome 6:NC_006691.1/AE017346.1; chromosome 7:NC_006692.1/AE017347.1; chromosome 8:NC_006693.1/AE017348.1; chromosome 9:NC_006694.1/AE017349.1; chromosome 10:NC_006679.1/AE017350.1; chromosome 11:NC_006680.1/AE017351.1; chromosome 12:NC_006681.1/AE017352.1; chromosome 13:NC_006682.1/AE017353.1; chromosome 14:NC_006683.1/AE017356.1	NA	14	7004	6863	2005-01-07	2018-04-11	Chromosome	TIGR	SAMN03081418
Pyricularia oryzae 70-15	242507	PRJNA13840	13840	Fungi	Ascomycetes	40.9791	51.5882	GCA_000002495.2	chromosome 1:NC_017844.1/CM001231.1; chromosome 2:NC_017850.1/CM001232.1; chromosome 3:NC_017849.1/CM001233.1; chromosome 4:NC_017851.1/CM001234.1; chromosome 5:NC_017852.1/CM001235.1; chromosome 6:NC_017853.1/CM001236.1; chromosome 7:NC_017854.1/CM001237.1	AACU03	53	13184	12989	2003-10-31	2016-03-31	Chromosome	International Rice Blast Genome Consortium	SAMN02953596
Takifugu rubripes	31033	PRJEB31988	530951	Animals	Fishes	384.127	45.6992	GCA_901000725.2	chromosome 1:NC_042285.1/LR584231.2; chromosome 2:NC_042286.1/LR584245.2; chromosome 3:NC_042287.1/LR584237.1; chromosome 4:NC_042288.1/LR584242.2; chromosome 5:NC_042289.1/LR584247.1; chromosome 6:NC_042290.1/LR584250.1; chromosome 7:NC_042291.1/LR584238.1; chromosome 8:NC_042292.1/LR584234.2; chromosome 9:NC_042293.1/LR584246.2; chromosome 10:NC_042294.1/LR584251.2; chromosome 11:NC_042295.1/LR584241.1; chromosome 12:NC_042296.1/LR584248.2; chromosome 13:NC_042297.1/LR584232.1; chromosome 14:NC_042298.1/LR584244.1; chromosome 15:NC_042299.1/LR584240.2; chromosome 16:NC_042300.1/LR584249.2; chromosome 17:NC_042301.1/LR584239.2; chromosome 18:NC_042302.1/LR584252.2; chromosome 19:NC_042303.1/LR584235.1; chromosome 20:NC_042304.1/LR584236.2; chromosome 21:NC_042305.1/LR584233.2; chromosome 22:NC_042306.1/LR584243.1; mitochondrion MT:NC_004299.1/	CAAJGN02	128	27342	46760	2019-04-09	2019-07-05	Chromosome	SC	SAMEA104384834
Ciona savignyi	51511	PRJNA1435	1435	Animals	Other Animals	587.353	37.5	GCA_000149265.1	NA	AACT01	34009	NA	NA	2003-10-24	2014-08-05	Scaffold	Broad Institute	SAMN02952906
Plasmodium yoelii	5861	PRJNA317465	317465	Protists	Apicomplexans	22.7559	21.9201	GCA_900002385.1	chromosome 1:NC_036173.1/LM993655.1; chromosome 2:NC_036174.1/LM993656.1; chromosome 3:NC_036175.1/LM993657.1; chromosome 4:NC_036176.1/LM993658.1; chromosome 5:NC_036177.1/LM993659.1; chromosome 6:NC_036178.1/LM993660.1; chromosome 7:NC_036179.1/LM993661.1; chromosome 8:NC_036180.1/LM993662.1; chromosome 9:NC_036181.1/LM993663.1; chromosome 10:NC_036182.1/LM993664.1; chromosome 11:NC_036183.1/LM993665.1; chromosome 12:NC_036184.1/LM993666.1; chromosome 13:NC_036185.1/LM993667.1; chromosome 14:NC_036186.1/LM993668.1; mitochondrion MIT:NW_019223694.1/LM993670.1; apicoplast API:NW_019223693.1/LM993669.1	NA	154	6094	5926	2014-08-27	2017-10-26	Chromosome	NCBI	SAMEA1032065
Saccharomyces paradoxus	27291	PRJEB7245	261308	Fungi	Ascomycetes	12.2147	38.242	GCA_002079145.1	chromosome I:CP020293.1; chromosome II:CP020294.1; chromosome III:CP020295.1; chromosome IV:CP020296.1; chromosome V:CP020297.1; chromosome VI:CP020298.1; chromosome VII:CP020299.1; chromosome VIII:CP020300.1; chromosome IX:CP020301.1; chromosome X:CP020302.1; chromosome XI:CP020303.1; chromosome XII:CP020304.1; chromosome XIII:CP020305.1; chromosome XIV:CP020306.1; chromosome XV:CP020307.1; chromosome XVI:CP020308.1; mitochondrion MT:CP020309.1	NA	17	NA	NA	2017-03-21	2017-03-21	Chromosome	SC	SAMEA4461731
Saccharomyces kudriavzevii	114524	PRJNA480800	480800	Fungi	Ascomycetes	11.8514	39.6269	GCA_003327635.1	chromosome I:CP030962.1; chromosome II:CP030963.1; chromosome III:CP030964.1; chromosome IV:CP030965.1; chromosome V:CP030966.1; chromosome VI:CP030967.1; chromosome VII:CP030968.1; chromosome VIII:CP030969.1; chromosome IX:CP030970.1; chromosome X:CP030971.1; chromosome XI:CP030972.1; chromosome XII:CP030973.1; chromosome XIII:CP030974.1; chromosome XIV:CP030975.1; chromosome XV:CP030976.1; chromosome XVI:CP030977.1; mitochondrion MT:CP030978.1	NA	17	NA	NA	2018-07-19	2018-07-19	Chromosome	Delft University of Technology	SAMN09650452
Lachancea kluyveri NRRL Y-12651	226302	PRJNA1445	1445	Fungi	Ascomycetes	11.5091	41.6535	GCA_000149225.1	chromosome A:CM000687.1; chromosome B:CM000688.1; chromosome C:CM000689.1; chromosome D:CM000690.1; chromosome E:CM000691.1; chromosome F:CM000692.1; chromosome G:CM000693.1; chromosome H:CM000694.1	AACE03	32	NA	NA	2003-05-22	2014-08-06	Chromosome	Washington University School of Medicine	SAMN02953588
Ustilago maydis 521	237631	PRJNA1446	1446	Fungi	Basidiomycetes	19.6644	54.0121	GCA_000328475.2	chromosome 1:NC_026478.1/CM003140.1; chromosome 2:NC_026479.1/CM003141.1; chromosome 3:NC_026480.1/CM003142.1; chromosome 4:NC_026481.1/CM003143.1; chromosome 5:NC_026482.1/CM003144.1; chromosome 6:NC_026483.1/CM003145.1; chromosome 7:NC_026484.1/CM003146.1; chromosome 8:NC_026485.1/CM003147.1; chromosome 9:NC_026486.1/CM003148.1; chromosome 10:NC_026487.1/CM003149.1; chromosome 11:NC_026488.1/CM003150.1; chromosome 12:NC_026489.1/CM003151.1; chromosome 13:NC_026490.1/CM003152.1; chromosome 14:NC_026491.1/CM003153.1; chromosome 15:NC_026492.1/CM003154.1; chromosome 16:NC_026493.1/CM003155.1; chromosome 17:NC_026494.1/CM003156.1; chromosome 18:NC_026495.1/CM003157.1; chromosome 19:NC_026496.1/CM003158.1; chromosome 20:NC_026497.1/CM003159.1; chromosome 21:NC_026498.1/CM003160.1; chromosome 22:NC_026499.1/CM003161.1; chromosome 23:NC_026500.1/CM003162.1	AACP02	27	6909	6782	2003-07-29	2015-02-18	Chromosome	Broad Institute	SAMN02900459
Naumovozyma castellii CBS 4309	1064592	PRJEA70625	70625	Fungi	Ascomycetes	11.2195	36.7559	GCA_000237345.1	chromosome 1:NC_016491.1/HE576752.1; chromosome 2:NC_016492.1/HE576753.1; chromosome 3:NC_016493.1/HE576754.1; chromosome 4:NC_016494.1/HE576755.1; chromosome 5:NC_016495.1/HE576756.1; chromosome 6:NC_016496.1/HE576757.1; chromosome 7:NC_016497.1/HE576758.1; chromosome 8:NC_016498.1/HE576759.1; chromosome 9:NC_016499.1/HE576760.1; chromosome 10:NC_016500.1/HE576761.1	NA	10	5867	5589	2011-08-01	2017-06-02	Chromosome	Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin	SAMEA2271985
Coprinopsis cinerea okayama7#130	240176	PRJNA1447	1447	Fungi	Basidiomycetes	36.1926	51.6	GCA_000182895.1	NA	AACS02	68	13609	13340	2003-07-30	2014-08-06	Contig	Broad Institute	SAMN02953595
Rattus norvegicus	10116	PRJNA10629	10629	Animals	Mammals	2870.18	42.3282	GCA_000001895.4	chromosome 1:NC_005100.4/CM000072.5; chromosome 2:NC_005101.4/CM000073.5; chromosome 3:NC_005102.4/CM000074.5; chromosome 4:NC_005103.4/CM000075.5; chromosome 5:NC_005104.4/CM000076.5; chromosome 6:NC_005105.4/CM000077.5; chromosome 7:NC_005106.4/CM000078.5; chromosome 8:NC_005107.4/CM000079.5; chromosome 9:NC_005108.4/CM000080.5; chromosome 10:NC_005109.4/CM000081.5; chromosome 11:NC_005110.4/CM000082.5; chromosome 12:NC_005111.4/CM000083.5; chromosome 13:NC_005112.4/CM000084.5; chromosome 14:NC_005113.4/CM000085.5; chromosome 15:NC_005114.4/CM000086.5; chromosome 16:NC_005115.4/CM000087.5; chromosome 17:NC_005116.4/CM000088.5; chromosome 18:NC_005117.4/CM000089.5; chromosome 19:NC_005118.4/CM000090.5; chromosome 20:NC_005119.4/CM000091.5; chromosome X:NC_005120.4/CM000092.5; chromosome Y:NC_024475.1/CM002824.1; mitochondrion MT:NC_001665.2/AY172581.1	AABR07	1395	39365	56113	2002-11-27	2014-07-01	Chromosome	Rat Genome Sequencing Consortium	SAMN02808228
Branchiostoma floridae	7739	PRJNA20249	20249	Animals	Other Animals	521.895	41.8	GCA_000003815.1	NA	ABEP02	398	28627	28623	2008-04-24	2014-08-06	Scaffold	DOE Joint Genome Institute	SAMN02953694
Bombyx mori	7091	PRJDA20217	20217	Animals	Insects	481.819	38.7993	GCA_000151625.1	mitochondrion MT:NC_002355.1/	BABH01	43463	16166	22571	2008-04-23	2017-10-25	Scaffold	The international silkworm genome sequencing consortium	SAMD00036537
Eremothecium gossypii ATCC 10895	284811	PRJNA13834	13834	Fungi	Ascomycetes	9.11931	51.6989	GCA_000091025.4	chromosome I:NC_005782.2/AE016814.2; chromosome II:NC_005783.5/AE016815.5; chromosome III:NC_005784.3/AE016816.3; chromosome IV:NC_005785.6/AE016817.6; chromosome V:NC_005786.2/AE016818.2; chromosome VI:NC_005787.5/AE016819.5; chromosome VII:NC_005788.4/AE016820.4; mitochondrion MT:NC_005789.1/AE016821.1	NA	8	5356	4776	2004-03-04	2017-09-14	Complete Genome	Biozentrum, University of Basel, Switzerland	SAMN03081415
Coffea arabica	13443	PRJNA506972	506972	Plants	Land Plants	1094.45	36.9585	GCA_003713225.1	chromosome 1c:NC_039898.1/CM011106.1; chromosome 1e:NC_039899.1/CM011107.1; chromosome 2c:NC_039900.1/CM011108.1; chromosome 2e:NC_039901.1/CM011109.1; chromosome 3c:NC_039902.1/CM011110.1; chromosome 3e:NC_039903.1/CM011111.1; chromosome 4c:NC_039904.1/CM011112.1; chromosome 4e:NC_039905.1/CM011113.1; chromosome 5e:NC_039906.1/CM011115.1; chromosome 5c:NC_039907.1/CM011114.1; chromosome 6c:NC_039908.1/CM011116.1; chromosome 6e:NC_039909.1/CM011117.1; chromosome 7c:NC_039910.1/CM011118.1; chromosome 7e:NC_039911.1/CM011119.1; chromosome 8e:NC_039912.1/CM011121.1; chromosome 8c:NC_039913.1/CM011120.1; chromosome 9c:NC_039914.1/CM011122.1; chromosome 9e:NC_039915.1/CM011123.1; chromosome 10e:NC_039916.1/CM011103.1; chromosome 10c:NC_039917.1/CM011102.1; chromosome 11c:NC_039918.1/CM011104.1; chromosome 11e:NC_039919.1/CM011105.1; chloroplast Pltd:NC_008535.1/	RHJU01	2833	56902	67222	2018-11-06	2018-11-08	Chromosome	NCBI	SAMN10272287
Felis catus	9685	PRJNA16726	16726	Animals	Mammals	2521.86	41.8806	GCA_000181335.4	chromosome A1:NC_018723.3/CM001378.3; chromosome A2:NC_018724.3/CM001379.3; chromosome A3:NC_018725.3/CM001380.3; chromosome B1:NC_018726.3/CM001381.3; chromosome B2:NC_018727.3/CM001382.3; chromosome B3:NC_018728.3/CM001383.3; chromosome B4:NC_018729.3/CM001384.3; chromosome C1:NC_018730.3/CM001385.3; chromosome C2:NC_018731.3/CM001386.3; chromosome D1:NC_018732.3/CM001387.3; chromosome D2:NC_018733.3/CM001388.3; chromosome D3:NC_018734.3/CM001389.3; chromosome D4:NC_018735.3/CM001390.3; chromosome E1:NC_018736.3/CM001391.3; chromosome E2:NC_018737.3/CM001392.3; chromosome E3:NC_018738.3/CM001393.3; chromosome F1:NC_018739.3/CM001394.3; chromosome F2:NC_018740.3/CM001395.3; chromosome X:NC_018741.3/CM001396.3; mitochondrion MT:NC_001700.1/	AANG04	4525	35588	54726	2006-04-27	2017-11-20	Chromosome	International Cat Genome Sequencing Consortium	SAMN02953640
Cyanidioschyzon merolae strain 10D	280699	PRJNA10792	10792	Other	Other	16.5467	55.0171	GCA_000091205.1	chromosome 1:NC_010127.1/AP006483.2; chromosome 2:NC_010128.1/AP006484.2; chromosome 3:NC_010129.1/AP006485.2; chromosome 4:NC_010130.1/AP006486.2; chromosome 5:NC_010131.1/AP006487.2; chromosome 6:NC_010132.1/AP006488.2; chromosome 7:NC_010133.1/AP006489.2; chromosome 8:NC_010134.1/AP006490.2; chromosome 9:NC_010135.1/AP006491.2; chromosome 10:NC_010136.1/AP006492.2; chromosome 11:NC_010137.1/AP006493.2; chromosome 12:NC_010138.1/AP006494.2; chromosome 13:NC_010139.1/AP006495.2; chromosome 14:NC_010140.1/AP006496.2; chromosome 15:NC_010141.1/AP006497.2; chromosome 16:NC_010142.1/AP006498.2; chromosome 17:NC_010143.1/AP006499.2; chromosome 18:NC_010144.1/AP006500.2; chromosome 19:NC_010145.1/AP006501.2; chromosome 20:NC_010146.1/AP006502.2	NA	20	5373	4803	2004-04-09	2019-03-19	Complete Genome	National Institute of Genetics, Japan	NA
Xenopus tropicalis	8364	PRJNA577946	577946	Animals	Amphibians	1451.3	40.7533	GCA_000004195.4	chromosome 1:NC_030677.2/CM004443.2; chromosome 2:NC_030678.2/CM004444.2; chromosome 3:NC_030679.2/CM004445.2; chromosome 4:NC_030680.2/CM004446.2; chromosome 5:NC_030681.2/CM004447.2; chromosome 6:NC_030682.2/CM004448.2; chromosome 7:NC_030683.2/CM004449.2; chromosome 8:NC_030684.2/CM004450.2; chromosome 9:NC_030685.2/CM004451.2; chromosome 10:NC_030686.2/CM004452.2; mitochondrion MT:NC_006839.1/	AAMC04	167	28864	45099	2009-11-13	2019-11-14	Chromosome	University of California, Berkeley	SAMN13041969
Xenopus laevis	8355	PRJNA338693	338693	Animals	Amphibians	2718.43	40.2325	GCA_001663975.1	chromosome 1L:NC_030724.1/CM004466.1; chromosome 1S:NC_030725.1/CM004467.1; chromosome 2L:NC_030726.1/CM004468.1; chromosome 2S:NC_030727.1/CM004469.1; chromosome 3L:NC_030728.1/CM004470.1; chromosome 3S:NC_030729.1/CM004471.1; chromosome 4L:NC_030730.1/CM004472.1; chromosome 4S:NC_030731.1/CM004473.1; chromosome 5L:NC_030732.1/CM004474.1; chromosome 5S:NC_030733.1/CM004475.1; chromosome 6L:NC_030734.1/CM004476.1; chromosome 6S:NC_030735.1/CM004477.1; chromosome 7L:NC_030736.1/CM004478.1; chromosome 7S:NC_030737.1/CM004479.1; chromosome 8L:NC_030738.1/CM004480.1; chromosome 8S:NC_030739.1/CM004481.1; chromosome 9_10L:NC_030740.1/CM004482.1; chromosome 9_10S:NC_030741.1/CM004483.1; mitochondrion MT:NC_001573.1/	LYTH01	108033	37283	56817	2016-06-14	2016-09-21	Chromosome	NCBI	SAMN04518361
Bos taurus	9913	PRJNA450837	450837	Animals	Mammals	2715.85	41.9362	GCA_002263795.2	chromosome 1:NC_037328.1/CM008168.2; chromosome 2:NC_037329.1/CM008169.2; chromosome 3:NC_037330.1/CM008170.2; chromosome 4:NC_037331.1/CM008171.2; chromosome 5:NC_037332.1/CM008172.2; chromosome 6:NC_037333.1/CM008173.2; chromosome 7:NC_037334.1/CM008174.2; chromosome 8:NC_037335.1/CM008175.2; chromosome 9:NC_037336.1/CM008176.2; chromosome 10:NC_037337.1/CM008177.2; chromosome 11:NC_037338.1/CM008178.2; chromosome 12:NC_037339.1/CM008179.2; chromosome 13:NC_037340.1/CM008180.2; chromosome 14:NC_037341.1/CM008181.2; chromosome 15:NC_037342.1/CM008182.2; chromosome 16:NC_037343.1/CM008183.2; chromosome 17:NC_037344.1/CM008184.2; chromosome 18:NC_037345.1/CM008185.2; chromosome 19:NC_037346.1/CM008186.2; chromosome 20:NC_037347.1/CM008187.2; chromosome 21:NC_037348.1/CM008188.2; chromosome 22:NC_037349.1/CM008189.2; chromosome 23:NC_037350.1/CM008190.2; chromosome 24:NC_037351.1/CM008191.2; chromosome 25:NC_037352.1/CM008192.2; chromosome 26:NC_037353.1/CM008193.2; chromosome 27:NC_037354.1/CM008194.2; chromosome 28:NC_037355.1/CM008195.2; chromosome 29:NC_037356.1/CM008196.2; chromosome X:NC_037357.1/CM008197.2; mitochondrion MT:NC_006853.1/CM008198.1	NKLS02	2211	35158	63696	2017-08-21	2018-04-13	Chromosome	NCBI	SAMN03145444
Ovis aries	9940	PRJNA517172	517172	Animals	Mammals	2869.91	41.9088	GCA_002742125.1	chromosome 1:NC_040252.1/CM008472.1; chromosome 2:NC_040253.1/CM008473.1; chromosome 3:NC_040254.1/CM008474.1; chromosome 4:NC_040255.1/CM008475.1; chromosome 5:NC_040256.1/CM008476.1; chromosome 6:NC_040257.1/CM008477.1; chromosome 7:NC_040258.1/CM008478.1; chromosome 8:NC_040259.1/CM008479.1; chromosome 9:NC_040260.1/CM008480.1; chromosome 10:NC_040261.1/CM008481.1; chromosome 11:NC_040262.1/CM008482.1; chromosome 12:NC_040263.1/CM008483.1; chromosome 13:NC_040264.1/CM008484.1; chromosome 14:NC_040265.1/CM008485.1; chromosome 15:NC_040266.1/CM008486.1; chromosome 16:NC_040267.1/CM008487.1; chromosome 17:NC_040268.1/CM008488.1; chromosome 18:NC_040269.1/CM008489.1; chromosome 19:NC_040270.1/CM008490.1; chromosome 20:NC_040271.1/CM008491.1; chromosome 21:NC_040272.1/CM008492.1; chromosome 22:NC_040273.1/CM008493.1; chromosome 23:NC_040274.1/CM008494.1; chromosome 24:NC_040275.1/CM008495.1; chromosome 25:NC_040276.1/CM008496.1; chromosome 26:NC_040277.1/CM008497.1; chromosome X:NC_040278.1/CM008498.1; mitochondrion MT:NC_001941.1/	PEKD01	2641	33624	42391	2017-10-31	2018-06-26	Chromosome	NCBI	SAMEA104496890
Sus scrofa	9823	PRJNA13421	13421	Animals	Mammals	2501.91	41.971	GCA_000003025.6	chromosome 1:NC_010443.5/CM000812.5; chromosome 2:NC_010444.4/CM000813.5; chromosome 3:NC_010445.4/CM000814.5; chromosome 4:NC_010446.5/CM000815.5; chromosome 5:NC_010447.5/CM000816.5; chromosome 6:NC_010448.4/CM000817.5; chromosome 7:NC_010449.5/CM000818.5; chromosome 8:NC_010450.4/CM000819.5; chromosome 9:NC_010451.4/CM000820.5; chromosome 10:NC_010452.4/CM000821.5; chromosome 11:NC_010453.5/CM000822.5; chromosome 12:NC_010454.4/CM000823.5; chromosome 13:NC_010455.5/CM000824.5; chromosome 14:NC_010456.5/CM000825.5; chromosome 15:NC_010457.5/CM000826.5; chromosome 16:NC_010458.4/CM000827.5; chromosome 17:NC_010459.5/CM000828.5; chromosome 18:NC_010460.4/CM000829.5; chromosome X:NC_010461.5/CM000830.5; chromosome Y:NC_010462.3/LT634572.1; mitochondrion MT:NC_000845.1/	AEMK02	706	30364	63577	2008-07-11	2016-12-06	Chromosome	The Swine Genome Sequencing Consortium (SGSC)	SAMN02953785
Canis lupus familiaris	9615	PRJNA13179	13179	Animals	Mammals	2410.98	41.3022	GCA_000002285.2	chromosome 1:NC_006583.3/CM000001.3; chromosome 2:NC_006584.3/CM000002.3; chromosome 3:NC_006585.3/CM000003.3; chromosome 4:NC_006586.3/CM000004.3; chromosome 5:NC_006587.3/CM000005.3; chromosome 6:NC_006588.3/CM000006.3; chromosome 7:NC_006589.3/CM000007.3; chromosome 8:NC_006590.3/CM000008.3; chromosome 9:NC_006591.3/CM000009.3; chromosome 10:NC_006592.3/CM000010.3; chromosome 11:NC_006593.3/CM000011.3; chromosome 12:NC_006594.3/CM000012.3; chromosome 13:NC_006595.3/CM000013.3; chromosome 14:NC_006596.3/CM000014.3; chromosome 15:NC_006597.3/CM000015.3; chromosome 16:NC_006598.3/CM000016.3; chromosome 17:NC_006599.3/CM000017.3; chromosome 18:NC_006600.3/CM000018.3; chromosome 19:NC_006601.3/CM000019.3; chromosome 20:NC_006602.3/CM000020.3; chromosome 21:NC_006603.3/CM000021.3; chromosome 22:NC_006604.3/CM000022.3; chromosome 23:NC_006605.3/CM000023.3; chromosome 24:NC_006606.3/CM000024.3; chromosome 25:NC_006607.3/CM000025.3; chromosome 26:NC_006608.3/CM000026.3; chromosome 27:NC_006609.3/CM000027.3; chromosome 28:NC_006610.3/CM000028.3; chromosome 29:NC_006611.3/CM000029.3; chromosome 30:NC_006612.3/CM000030.3; chromosome 31:NC_006613.3/CM000031.3; chromosome 32:NC_006614.3/CM000032.3; chromosome 33:NC_006615.3/CM000033.3; chromosome 34:NC_006616.3/CM000034.3; chromosome 35:NC_006617.3/CM000035.3; chromosome 36:NC_006618.3/CM000036.3; chromosome 37:NC_006619.3/CM000037.3; chromosome 38:NC_006620.3/CM000038.3; chromosome X:NC_006621.3/CM000039.3; mitochondrion MT:NC_002008.4/	AAEX03	3310	36809	58776	2004-07-10	2014-08-06	Chromosome	Dog Genome Sequencing Consortium	SAMN02953603
